sensor_id,date_created,last_seen,latitude,longitude,humidity,pm25
262327,1738168045,1755379222,32.63882,-116.99204,41.0,5.3
274870,1745266682,1755270957,32.761425,-117.25147,55.0,7.8
12971,1531427660,1755379270,33.073772,-117.2061,38.0,20.5
14269,1533421282,1755379257,33.026127,-117.04432,33.0,6.0
280338,1747934807,1755379322,32.764,-117.111275,41.0,7.1
280794,1748440837,1755379311,33.033253,-117.17401,43.0,7.0
280852,1748442787,1755379281,32.676918,-117.10268,41.0,4.7
19603,1542578171,1755379290,33.122845,-117.19734,64.0,6.3
20733,1544041491,1755379232,33.042194,-117.2556,66.0,0.0
284392,1750351599,1755379247,32.707558,-117.08095,30.0,4.0
22393,1544757334,1755379223,32.573006,-117.035126,45.0,4.0
24019,1546561460,1755379263,32.987,-117.24905,77.0,4.3
24279,1547069288,1755379267,33.050472,-117.28024,52.0,4.8
28701,1552512042,1755379242,32.772827,-117.07811,43.0,4.1
30483,1555089255,1755379273,32.95053,-117.26437,52.0,4.1
33029,1560273559,1755379230,32.816517,-117.24981,100.0,1.4
35307,1563476591,1755379222,32.798985,-117.117676,41.0,4.8
40309,1571683389,1755379255,32.775116,-117.183846,42.0,4.1
40931,1573144947,1755379332,32.940727,-117.211365,52.0,4.1
42317,1574446448,1755379329,33.133472,-117.15422,43.0,5.2
51513,1585953661,1755379215,32.856125,-117.257,46.0,3.2
52695,1587077689,1755379245,32.734962,-117.12317,50.0,2.5
56127,1590010137,1755379288,32.999557,-117.26265,83.0,2.5
56771,1591039975,1755379321,32.87173,-117.001,22.0,4.9
57159,1591385100,1755379225,32.88806,-116.94969,30.0,7.6
59021,1593805924,1755379323,32.76077,-117.15728,40.0,5.2
60429,1596144290,1755379225,32.831882,-116.81355,29.0,7.2
60561,1596228023,1755379246,32.975937,-117.07874,39.0,5.2
60867,1596651402,1755379323,33.026768,-117.083145,44.0,4.9
66455,1599585381,1755379299,32.958603,-117.116776,31.0,5.6
69529,1600445787,1755379291,32.776573,-117.17514,44.0,5.2
74749,1601488218,1755379293,33.159927,-117.26419,41.0,6.4
75023,1601495577,1755379287,32.996506,-116.92637,25.0,6.2
75275,1601501213,1755379308,32.69682,-117.18461,48.0,4.1
77701,1602004487,1755379304,32.839558,-116.93756,32.0,6.7
78015,1602013464,1755379275,33.094555,-117.02712,29.0,7.6
78251,1602022817,1755379248,32.951633,-117.11579,29.0,5.9
78977,1602177549,1755379333,32.958805,-117.12828,32.0,5.8
79813,1602271444,1755379269,33.10934,-117.18387,54.0,6.5
80583,1602606137,1755379237,32.975758,-117.12569,40.0,6.2
81217,1602693000,1755379297,33.08238,-117.23711,34.0,4.7
81559,1602703682,1755379335,32.91746,-117.18605,35.0,1.0
81989,1602785782,1755379291,33.02535,-117.26828,43.0,4.2
82101,1602790436,1755379217,32.85426,-117.25196,47.0,5.0
82281,1602794804,1755379328,32.68735,-117.17259,49.0,4.4
82391,1602799747,1755379334,32.960873,-117.21749,48.0,5.8
83569,1603214806,1755379219,32.733105,-117.02406,34.0,5.6
83915,1603228035,1754854879,33.099228,-117.22657,94.0,19.0
84419,1603384876,1755379231,33.035175,-117.19263,42.0,4.9
84529,1603390840,1755379316,32.8249,-117.214355,39.0,3.2
84561,1603391367,1755379272,32.953926,-117.25846,51.0,4.6
84993,1603471237,1755379330,32.95642,-117.24267,47.0,4.3
85927,1603815021,1755379258,32.849,-117.2082,45.0,4.8
86543,1603915087,1755379237,33.008205,-117.19038,49.0,2.2
87219,1604071336,1755379267,32.90204,-117.07056,38.0,6.7
87715,1604340330,1755379305,32.905045,-117.10026,36.0,7.3
90803,1605652755,1755379295,32.828896,-117.07802,48.0,7.1
91335,1605891390,1755379226,32.809074,-117.18591,44.0,4.2
91915,1606170141,1755379325,33.04325,-117.13577,51.0,6.1
92259,1606321602,1755379316,32.733208,-117.15945,86.0,5.7
93565,1607624054,1755379245,32.997906,-116.89686,29.0,6.7
101215,1615402323,1755379229,33.037777,-117.22889,40.0,5.0
104688,1619044167,1755379276,32.827785,-117.24732,61.0,4.0
108378,1623278384,1755379328,33.09524,-117.29682,49.0,4.8
108652,1623454403,1755379223,32.69919,-117.12594,87.0,0.0
110046,1624393768,1755362794,32.76427,-117.072075,79.0,10.4
111175,1624916507,1755379274,33.127163,-117.15966,34.0,1.2
111189,1624916547,1755379291,33.133698,-117.16043,52.0,0.1
112382,1625285922,1755379304,33.051315,-117.17363,58.0,1.5
112524,1625531065,1755379270,32.745804,-117.23926,82.0,0.0
115569,1626899305,1755379272,32.963573,-117.0508,35.0,6.5
119667,1628711646,1755379248,32.93688,-117.24845,42.0,0.2
120333,1628890478,1755379248,32.65409,-117.03505,28.0,0.2
120567,1629132634,1755379242,32.73253,-117.16759,51.0,4.7
121439,1629327597,1755379322,32.97845,-117.058556,35.0,0.2
121789,1629413306,1755379332,32.954193,-117.260994,40.0,1.5
123391,1630013296,1755379270,32.942574,-117.219025,44.0,0.4
125509,1630626161,1755379305,33.15814,-117.12102,34.0,1.5
125809,1630711067,1755379285,32.997917,-117.26051,40.0,0.4
125897,1630714389,1755379247,32.97907,-117.17764,38.0,1.2
133091,1634250401,1755379315,32.989285,-117.26209,50.0,0.9
133938,1634757727,1755379267,33.17127,-117.29272,42.0,1.4
133978,1634757838,1755379228,32.90468,-117.14228,37.0,1.8
137488,1636670375,1755379227,32.531906,-117.01893,45.0,3324.0
140410,1639167107,1755379236,32.737186,-117.0206,49.0,3.6
140412,1639183192,1755379297,32.8038,-117.15689,37.0,0.0
147284,1652308339,1755379269,33.198776,-116.96868,36.0,7.7
152220,1656701302,1755379266,33.0695,-116.79252,28.0,12.1
154931,1657910275,1755379227,33.07538,-116.78992,26.0,9.8
157971,1659544869,1755379228,33.04647,-117.289505,46.0,5.3
160361,1661207137,1755379291,32.807667,-117.07423,38.0,6.3
161219,1662476838,1755379225,32.677673,-117.17617,47.0,5.9
167395,1666018749,1755379333,32.698277,-117.17545,45.0,4.2
172059,1669744396,1755379272,32.69901,-117.17089,38.0,4.3
175527,1677783260,1755379255,32.82382,-117.26082,45.0,2.5
176843,1678830538,1755379310,32.7192,-117.1318,40.0,4.4
186691,1688424959,1755379249,33.15742,-117.2413,40.0,0.0
187971,1689199650,1755369123,33.168182,-117.23892,29.0,6.1
188113,1689279465,1755379295,32.583782,-117.13275,66.0,8.9
197269,1696173461,1755379286,32.693466,-117.185165,43.0,2.3
198641,1697043134,1755379259,32.71743,-117.17044,59.0,4.9
213405,1707599148,1755379250,32.90627,-117.08692,41.0,7.7
219979,1711638745,1755379326,33.15568,-117.07309,38.0,7.2
220133,1712004442,1755379295,32.51864,-117.10096,55.0,5.8
227309,1717621988,1755379236,33.097404,-117.00032,26.0,8.4
232247,1720802803,1755379256,33.023247,-116.94537,30.0,5.9
236171,1722903986,1755379245,33.066093,-117.28129,37.0,5.6
238073,1723754217,1755379274,32.798492,-117.1256,42.0,7.6
239745,1724715814,1755379286,33.001778,-117.26031,40.0,4.6
244465,1727109342,1755379322,32.731956,-117.08006,30.0,9.0
249063,1729712047,1755379221,32.99168,-117.15472,45.0,6.6
249421,1729883486,1755379258,32.787815,-116.98936,24.0,6.1
258225,1736726635,1755379229,32.767563,-116.94858,45.0,7.3
260745,1737579373,1755379259,32.901604,-117.158295,22.0,4.2
